ID Loja;Nome da Loja;Quantidade Colaboradores;Tipo;id Localidade;Gerente Loja;Documento Gerente
57;Loja Port Washington;26;Fisica;1;Diniz, Alberto;213808369
58;Loja Sheboygan;19;Fisica;1;Mayer, Rodrigo;457065191
59;Loja Manitowoc;33;Fisica;1;Ribeiro, Fernanda;443194701
60;Loja Madison;47;Fisica;1;Wiener, Adelino;699395364
61;Loja Oregon;22;Fisica;1;Oliva, Roberta;274064609
63;Loja Edgerton;25;Fisica;1;Fernandes, Aline;395943763
64;Loja Fort Atkinson;26;Fisica;1;Figueira, Fernanda;533133364
65;Loja Racine No.2;19;Fisica;1;Junqueira, Roberta;922690535
66;Loja Houston No.1;33;Fisica;1;Ferreira, Marcelo;650601944
67;Loja Houston No.2;47;Fisica;1;Santana, Eduardo;580812912
68;Loja Houston No.3;22;Fisica;1;Martins, Gil;334539089
69;Loja Houston No.4;17;Fisica;1;Gonçalves, Carla;291633377
70;Loja Midland;25;Fisica;1;Resende, Roberta;815484901
71;Loja Russellville;25;Fisica;1;Junqueira, Jessica;113671049
72;Loja Minden;26;Fisica;1;Grecco, Carolina;724498251
73;Loja Shreveport;19;Fisica;1;Mello, Juliana;674519288
74;Loja Marshall;33;Fisica;1;Fernandes , Barbara;279794445
75;Loja Longview;47;Fisica;1;Amaral, Andre;472995633
76;Loja Beaumont No.1;22;Fisica;1;Valverde, Carolina;776364792
77;Loja Orange;17;Fisica;1;Gonçalves, Barbara;397915178
78;Loja Beaumont No.2;25;Fisica;1;Araújo, Barbara;495088235
79;Loja Baytown;26;Fisica;1;Gonçalves, Matheus;772206299
80;Loja La Porte;26;Fisica;1;Feliciano, Fillipe;576077763
81;Loja Bacliff;19;Fisica;1;Almeida, Daniela;686988860
82;Loja Texas City;33;Fisica;1;Costa, Luana;532507973
83;Loja Pasadena;47;Fisica;1;Vanin, Isabelle;867570901
85;Loja Spring;17;Fisica;1;Resende, Stefan;610684796
86;Loja Austin;25;Fisica;1;Ribeiro, Victor;285197952
87;Loja San Antonio;26;Fisica;1;Vazquez, Bruno;195827168
88;Loja Cedar Park;19;Fisica;1;Santos, Gabriel;809496425
89;Loja Round Rock;33;Fisica;1;Neves, Pedro;514178779
90;Loja Dallas;47;Fisica;1;Peres, Carolina;461667762
91;Loja Georgetown;22;Fisica;1;Felipe, Joao;774637903
92;Loja Hillsboro;17;Fisica;1;Ferreira, Patrick;481194799
93;Loja Arlington;25;Fisica;1;Battaglini, Livia;339644249
94;Loja Grand Prairie;25;Fisica;1;Bueno, Gil;210018045
95;Loja Desoto;26;Fisica;1;Figueira, Audir;642112421
96;Loja Richardson;19;Fisica;1;Granuzzi, Luiz;483669359
97;Loja Lewisville;33;Fisica;1;Gonçalves, Mylena;809793860
98;Loja Denton;47;Fisica;1;Cordeiro, Bruno;633400076
99;Loja Fort Worth;22;Fisica;1;Bettoni, Lucas;341549666
100;Loja Plano;17;Fisica;1;Soares, Joao;129109320
101;Loja Miami No.1;17;Fisica;1;Lemos, Adrielle;665062470
102;Loja Miami No.2;25;Fisica;1;Wiener, Luiz;123278813
103;Loja Jacksonville;26;Fisica;1;Wille, Matheus;689760739
104;Loja Tallahassee No.1;19;Fisica;1;Goncalves, Rafael;616610071
105;Loja Tallahassee No.2;33;Fisica;1;Lellis, Daniela;610522609
107;Loja Sebring;22;Fisica;1;Neto, Carolina;173308423
108;Loja Lakeland;17;Fisica;1;Moreira, Felipe;420751339
109;Loja Fort Lauderdale;25;Fisica;1;Mendes, Rodrigo;906150265
110;Loja Orlando;25;Fisica;1;Peres, Aline;765360121
111;Loja Tampa;26;Fisica;1;Borges, Fernanda;247711041
113;Loja Cape Canaveral;33;Fisica;1;Dias, Fernanda;965667424
114;Loja Albany;47;Fisica;1;Bragard, Joao;869021433
115;Loja New York No.1;22;Fisica;1;Grecco, Leonardo;645880466
116;Loja Rochester No.1;17;Fisica;1;Noronha, Gabriel;146422074
117;Loja New York No.2;25;Fisica;1;Schmidt, Flavio;561731073
118;Loja Syracuse;26;Fisica;1;Sberci, Rodrigo;405403135
120;Loja Plattsburgh;33;Fisica;1;Pereira, Joao;475046314
121;Loja Brooklyn;47;Fisica;1;Lellis, Leonardo;297881149
122;Loja Oswego;22;Fisica;1;Felipe, Fillipe;485593871
123;Loja Ithaca;17;Fisica;1;Dourado, Roberto;302242532
124;Loja Rochester No.2;25;Fisica;1;Santos, Marcelo;522461326
125;Loja Queens;25;Fisica;1;Barbosa, Isabelle;952026498
126;Loja Elmira;26;Fisica;1;Silva, Gustavo;517595382
127;Loja Poestenkill;19;Fisica;1;Gonçalves, Patrick;980680625
128;Loja Trenton No.1;33;Fisica;1;Walter, Renan;247362571
130;Loja Newark No.1;22;Fisica;1;Oliveira, Rafael;337265534
131;Loja Newark No.2;17;Fisica;1;Amaral, Amanda;680232999
132;Loja Jersey City;25;Fisica;1;Canicali, Lucas;372466625
133;Loja Paterson;26;Fisica;1;Custódio, Jessica;641555206
134;Loja Clifton;26;Fisica;1;Gonçalves, Marina;786504524
135;Loja East Orange;19;Fisica;1;Andrade, Daniela;571114764
136;Loja Passaic;33;Fisica;1;Machado, Barbara;148151205
137;Loja Bayonne;47;Fisica;1;Mota, Matheus;574406867
138;Loja Vineland;22;Fisica;1;Mayer, Bruna;336784632
139;Loja New Brunswick;17;Fisica;1;Mello, Hanna;290113089
140;Loja Hackensack;25;Fisica;1;Macau, Lucas;353807270
141;Loja Atlantic City;26;Fisica;1;Ferreira, Livia;346798696
142;Loja Montclair;19;Fisica;1;Onishi, Patrick;137393586
143;Loja Hoboken;33;Fisica;1;Amaro, Luana;961927762
144;Loja Morristown;47;Fisica;1;Braun, Marina;254510322
145;Loja Cape May;22;Fisica;1;Sousa, atila;887571364
146;Loja Boston;17;Fisica;1;Magalhaes, Carolina;932366227
147;Loja Worcester No.1;25;Fisica;1;Lima, Adrielle;223486932
149;Loja New Bedford;26;Fisica;1;Gonçalves, Pedro;627650321
150;Loja Attleboro;19;Fisica;1;Arruda, Larissa;876032050
151;Loja Lowell;33;Fisica;1;Iwai, Matheus;937038287
152;Loja Leominster;47;Fisica;1;Cotta, Flavio;306037861
153;Loja Hingham;22;Fisica;1;Favoretto, Joao;803704632
154;Loja Quincy;17;Fisica;1;Silva, Leonardo;379241392
155;Loja Framingham;25;Fisica;1;Mendes, atila;358847436
156;Loja Cambridge;26;Fisica;3;Vilela, Eduardo;70061570
157;Loja Somerville;26;Fisica;1;Pereira, Fernanda;630411291
158;Loja Haverhill;19;Fisica;1;Ifanger, Andre;126341752
159;Loja Lynn;33;Fisica;1;Nohara, Aline;344952472
160;Loja Northampton;47;Fisica;1;Peres, Pedro;945824923
161;Loja Holyoke;22;Fisica;1;Santos, Raissa;813900107
163;Loja Falmouth;25;Fisica;1;Grippe, Brenda;546842302
164;Loja Provincetown;26;Fisica;1;Lemos, Jose;376237087
165;Loja Nantucket;19;Fisica;1;Ling, Andre;264003477
166;Loja Bangor;33;Fisica;1;Dias, Rafael;525693146
167;Loja Bar Harbor;47;Fisica;1;Sousa, Matheus;720094732
168;Loja Kennebunkport;22;Fisica;1;Yamashita, Carla;907267425
169;Loja Lewiston;17;Fisica;1;Cardozo, Maria;986345837
170;Loja Orono;25;Fisica;1;Bueno, Roberta;467060037
171;Loja South Portland;25;Fisica;1;Capistrano, Bruna;825644232
172;Loja Hartford;26;Fisica;1;Gonçalves, Bruna;173998548
173;Loja Bridgeport;19;Fisica;1;Yamashita, Isabelle;196398360
174;Loja Waterbury;33;Fisica;1;Kuroiwa, Isabella;456413934
175;Loja Old Saybrook;47;Fisica;1;Vieira, Rafael;138379506
176;Loja Darien;22;Fisica;1;Santos, Bruna;395450339
177;Loja New Haven;17;Fisica;1;Soares, Gustavo;263712841
178;Loja Litchfield County;25;Fisica;1;Peres, Lucas;796622820
179;Loja New London;26;Fisica;1;Cintra, Douglas;589421831
180;Loja Norfolk;26;Fisica;1;Vilela, Isabella;369380564
181;Loja Virginia Beach;19;Fisica;1;Castor, Luana;306512818
182;Loja Winchester;33;Fisica;1;Grippe, Lucas;457755197
183;Loja Anchorage;47;Fisica;1;Lima, Bruno;203408476
185;Loja Roanoke;17;Fisica;1;Goncalves, Higor;188310691
186;Loja Charlottesville;25;Fisica;1;Rocha, Fernanda;601669174
187;Loja Fredericksburg;26;Fisica;1;Rossini, Thayna;906706359
188;Loja Martinsville;19;Fisica;1;Yamashita, Roberto;348508241
189;Loja Greenville;33;Fisica;1;Rossini, Victor;783213370
190;Loja Charleston;47;Fisica;1;Favoretto, Leandro;848395427
191;Loja Annapolis;22;Fisica;1;Andrade, Isabella;299075214
192;Loja Baltimore;17;Fisica;1;Capistrano, Luiz;985694474
193;Loja Howard;25;Fisica;1;Lamoglia, Joao;444098003
194;Loja Ridgely;25;Fisica;1;Macedo, Roberta;374562531
195;Loja Queen Anne's County;26;Fisica;1;Ferreira, Carolina;894518598
196;Loja Parkville;19;Fisica;1;Amaral, Raissa;949277479
197;Loja Back River;33;Fisica;1;Celestino, Andre;258989109
198;Loja North Harford;47;Fisica;1;Rimes, Lucas;125725480
201;Loja London;17;Fisica;3;Martins, Luca;79894784
202;Loja Edinburgh;25;Fisica;3;Gonçalves, Larissa;24501346
203;Loja Glasgow;26;Fisica;3;Santos, Andre;60561942
204;Loja York;78;Fisica;3;Nawa, Fernanda;19022472
205;Loja Carlisle;23;Fisica;3;Pires, Debora;25909892
206;Loja Manchester;11;Fisica;3;Bonazza, Luana;20664168
207;Loja Lancashire;36;Fisica;3;Pereira, Gabriel;86141359
208;Loja West Yorkshire;90;Fisica;3;Guimaraes, Aline;87233411
209;Loja Baildon;32;Fisica;3;Bretas, Gabriel;59736745
210;Loja Cheshire;23;Fisica;3;Goncalves, Fernanda;49013455
211;Loja Stockport;34;Fisica;3;Onishi, Frederico;11800128
212;Loja Liverpool;64;Fisica;3;Vanin, Jessica;55703788
213;Loja Knotty Ash;24;Fisica;3;Onishi, Aline;40187876
214;Loja Leeds;25;Fisica;3;Sousa, Aline;51209286
215;Loja Paris;12;Fisica;4;Soares, Adriano;83707979
216;Loja Marseille;13;Fisica;4;Silveira, Lorena;41958108
217;Loja Lyon;15;Fisica;4;Pires, Aline;28401446
218;Loja Toulouse;23;Fisica;4;Isau, Fernanda;79406455
219;Loja Nice;32;Fisica;4;Mariano, Eduardo;55804439
220;Loja Nantes;11;Fisica;4;Telles, Hanna;16642888
221;Loja Strasbourg;10;Fisica;4;Arruda, Livia;76455457
222;Loja Roma;43;Fisica;5;Magalhaes, Leandro;58821163
223;Loja Venezia;11;Fisica;5;Vazquez, Thayna;19021172
224;Loja Firenze;45;Fisica;5;Wancelotti, Luiz;13417898
225;Loja Torino;24;Fisica;5;Gomide, Barbara;71821223
226;Loja Milan;23;Fisica;5;Gonçalves, Luca;12389226
227;Loja Naples;13;Fisica;1;Minatel, Guilherme;248819362
228;Loja Berlin;13;Fisica;6;Rodrigues, Joao;73120635
230;Loja koln No.2;25;Fisica;6;Grippe, Giuseppe;62579514
231;Loja Hofheim;25;Fisica;6;Costa, Isabelle;18038468
232;Loja koln No.1;35;Fisica;6;Silva, Patrick;83696351
233;Loja Landstuhl;21;Fisica;6;Zolini, Gabriel;48833603
234;Loja Dusseldorf;24;Fisica;6;Zimerer, Lucas;26394472
235;Loja Ramstein;15;Fisica;6;Rasteira, Frederico;82817771
236;Loja Baumholder;28;Fisica;6;Klain, Fillipe;72356048
237;Loja Giebelstadt;15;Fisica;6;Cassettari, Felipe;16270597
238;Loja obamberg;29;Fisica;6;Moreira, Stefan;52637305
239;Loja Munich;18;Fisica;6;Favoretto, Jessica;43142456
240;Loja Amsterdam;26;Fisica;7;Santos, Giuseppe;56321814
241;Loja Copenhagen;25;Fisica;8;Santana, Rafael;61982286
242;Loja Stockholm;33;Fisica;9;Alves, Victoria;74247008
243;Loja Madrid;35;Fisica;10;Mayer, Rafael;39004245
244;Loja Ljubljana;36;Fisica;11;Silveira, Joao;77433755
245;Loja Bucharest;25;Fisica;12;Junqueira, atila;71454845
246;Loja Berne;53;Fisica;13;Baldini, Bruna;32438821
247;Loja Warsaw;15;Fisica;14;Barbosa, Jessica;32274060
248;Loja Valletta;42;Fisica;15;Azuma, Michelle;36187290
249;Loja Dublin;55;Fisica;16;Turri, Jessica;76116398
250;Loja Athens;15;Fisica;17;Bueno, Zilma;42233596
251;Loja Singapore;27;Fisica;18;Dantas, Jessica;650334478
252;Loja Canberra;28;Fisica;19;Sousa, Adelino;43862649
253;Loja Sydney No.1;20;Fisica;19;Vieira, Adelino;32797595
254;Loja Yerevan;15;Fisica;20;Ivanaga, Marianna;774810078
255;Loja New Delhi;29;Fisica;21;Monteiro, Marcelo;183725981
256;Loja Mumbai;35;Fisica;21;Perciavalle, Maria;627846759
257;Loja Kolkata;35;Fisica;21;Sousa, Andre;709193971
258;Loja Thimphu No.1;35;Fisica;22;Paschoarelli, Mylena;572355419
259;Loja Hong Kong No.1;35;Fisica;23;Gaiotto, Hanna;386999248
260;Loja Tehran No.1;35;Fisica;24;Perciavalle, Marina;593618161
261;Loja Damascus No.1;35;Fisica;25;Martins, Joao;416343487
262;Loja Bangkok No.1;62;Fisica;26;Neves, Adriano;142234187
263;Loja Moscow No.1;65;Fisica;27;Falkenbach, Hanna;88518310
264;Loja Ashgabat No.1;68;Fisica;28;Gonçalves, Roberto;565563007
265;Loja Islamabad No.1;71;Fisica;29;Martins, Audir;433152035
267;Loja Tokyo No.1;68;Fisica;30;Santos, Amanda;130225150
268;Loja Tokyo No.2;68;Fisica;30;Moreira, Victor;232987780
269;Loja Yokohama;77;Fisica;30;Gaiotto, Felipe;365068953
270;Loja Osaka No.1;80;Fisica;30;Freitas, Carolina;988529296
271;Loja Nagoya;50;Fisica;30;Favoretto, Fernanda;764017847
272;Loja Sapporo;50;Fisica;30;Silva, Tomas;708971555
273;Loja Kyoto;50;Fisica;30;Amaro, Lorena;586281819
274;Loja Seoul;50;Fisica;31;Bretas, Livia;354370458
275;Loja Busan;50;Fisica;31;Rodrigues, Hanna;595376649
276;Loja Bishkek;50;Fisica;32;Peres, Raissa;386040813
277;Loja Shanghai No.1;95;Fisica;23;Braga, Vitor;632396771
278;Loja Urumqi;50;Fisica;23;Borges, Eduardo;250826665
279;Loja Beijing;86;Fisica;23;Vieira, Jessica;433505294
280;Loja Guangzhou;131;Fisica;23;Guimaraes, Brenda;318254527
281;Loja Shanghai No.2;95;Fisica;23;Tavares, Raissa;197228998
282;Loja Ottawa No.1;95;Fisica;2;Neto, Pedro;435474140
283;Loja Ottawa No.2;95;Fisica;2;Martins, Renan;931840511
284;Loja Toronto No.1;95;Fisica;2;Oliva, Joao;512590978
285;Loja Toronto No.2;95;Fisica;2;Tavares, Isabella;513880284
286;Loja Toronto No.3;95;Fisica;2;Simões, Bruno;499598996
287;Loja Montreal No.1;95;Fisica;2;Araújo, Audir;492492830
288;Loja Montreal No.2;95;Fisica;2;Martins, Jessica;543574368
289;Loja Vancouver No.1;95;Fisica;2;Minatel, Lucas;375784151
290;Loja Vancouver No.2;95;Fisica;2;Wancelotti, Leonardo;909562107
291;Loja Calgary;95;Fisica;2;Costa, Rodrigo;893455088
292;Loja Thimphu No.2;95;Fisica;22;Mayer, Fernanda;538294690
293;Loja Hong Kong No.2;95;Fisica;23;Alves, Alberto;830822258
294;Loja Tehran No.2;95;Fisica;24;Marinho, Caio;236629633
295;Loja Damascus No.2;95;Fisica;25;Isau, Carolina;143109286
296;Loja Bangkok No.2;95;Fisica;26;Accorsi, Poline;790452312
297;Loja Moscow No.2;95;Fisica;27;Falkenbach, Pedro;75204155
298;Loja Ashgabat No.2;95;Fisica;28;Rasteira, Rodrigo;252028569
299;Loja Islamabad No.2;95;Fisica;29;Rossini, Renan;204116236
300;Loja Sydney No.2;95;Fisica;19;Cunha, Leonardo;72489301
301;Loja Osaka No.2;95;Fisica;30;Onishi, Gabriel;434515094
302;Loja Jakarta;95;Fisica;33;Nawa, atila;701312058
303;Loja Lisbon;95;Fisica;34;Aurelio, Victor;34233439
304;Loja Saint Petersburg;95;Fisica;27;Sousa, Lucas;48204922
305;Loja Nizhny Novgorod;95;Fisica;27;Bonazza, Fernanda;50980888
12;Loja North Bend;19;Fisica;1;Gonçalves, Carolina;259222640
19;Loja Cheney;19;Fisica;1;Noronha, Gabriel;487302296
29;Loja Sedalia;47;Fisica;1;Wassem, Caroline;820669403
48;Loja Milwaukee No.2;25;Fisica;1;Sousa, Joao;547836166
62;Loja Stoughton;17;Fisica;1;Lima, Higor;846721619
84;Loja Humble;22;Fisica;1;Ribeiro, Marcos;852707750
112;Loja Key West;19;Fisica;1;Guimaraes, Luana;742881528
119;Loja Buffalo;19;Fisica;1;Vieira, Roberto;604090222
129;Loja Trenton No.2;47;Fisica;1;Martins, Joao;989752967
148;Loja Worcester No.2;25;Fisica;1;Coral, Isabella;893759247
162;Loja Pittsfield;17;Fisica;1;Ribeiro, Lorena;571434549
184;Loja Alexandria;22;Fisica;1;Cotta, Larissa;778863176
199;Loja North America Online;325;Online;1;Costa, Jessica;777271114
200;Loja Catalog;120;Fisica;1;Barbosa, Adriano;797635524
306;Loja Europe Online;7;Online;6;Noronha, Lorena;18399404
307;Loja Asia Online;8;Online;23;Ling, Renan;941810292
308;Loja North America Reseller;15;Fisica;1;Oliveira, Marianna;626023320
309;Loja Europe Reseller;12;Fisica;4;Silva, Thais;58240939
310;Loja Asia Reseller;17;Fisica;23;Lellis, Rodrigo;879546946
